Country,Beta0 (Coeff),Beta1 (Price),e0 (Coeff),e1 (Price),t0 (Coeff),t1 (Price),95%% Coeff. Int (Coeff),95%% Coeff. Int (Price)
Kuwait,17.4949008727,-0.305858803819,0.123002787423,0.070486189215,142.231743192,-4.3392728026,"[17.2374530798, 17.7523486655]","[-0.45338809335, -0.158329514289]"
Kyrgyzstan,13.1940499496,-1.198139818,0.22794856832,0.120442327078,57.881696941,-9.94783019447,"[12.7151477784, 13.6729521208]","[-1.45117975753, -0.945099878463]"
Laos,14.523260852,-0.872711413505,0.131918538577,0.0595907944401,110.092645118,-14.6450709661,"[14.2471521776, 14.7993695265]","[-0.99743637969, -0.747986447321]"
Latvia,15.5257365186,-0.802846706973,0.10601521041,0.078178294572,146.448197938,-10.2694323452,"[15.3030068265, 15.7484662108]","[-0.967093209108, -0.638600204838]"
Lebanon,17.5174460375,-0.887016875339,0.107555948095,0.0666765407812,162.868222053,-13.303282758,"[17.2923288509, 17.742563224]","[-1.02657247906, -0.747461271619]"
Lesotho,12.9831149463,-0.827000070449,0.165640089775,0.117911344137,78.3814773581,-7.01374474614,"[12.636426254, 13.3298036386]","[-1.07379135001, -0.580208790884]"
Liberia,15.509669327,-0.635586496699,0.334708258294,0.240314763598,46.3378746793,-2.64480836376,"[14.8091168912, 16.2102217628]","[-1.13857107754, -0.132601915858]"
Libya,14.0309764074,-1.64831478286,0.270960335802,0.187396955027,51.7823996855,-8.79584613647,"[13.4638499068, 14.598102908]","[-2.04054111745, -1.25608844826]"
Liechtenstein,14.10935501,-0.482184179855,0.605172128673,0.368172910761,23.3146147047,-1.30966772883,"[12.8427151876, 15.3759948324]","[-1.25277893826, 0.28841057855]"
Lithuania,15.4591337709,-1.12594152347,0.226499811523,0.154280243277,68.2523030237,-7.29802792343,"[14.9832753248, 15.934992217]","[-1.45007228695, -0.801810759998]"
Luxembourg,16.0967174576,-0.477068692358,0.0903637950503,0.0474610237367,178.132375346,-10.0517994514,"[15.9075838609, 16.2858510543]","[-0.576405756686, -0.37773162803]"
Macau,15.158313174,-0.425043495581,0.121897546408,0.0657519778984,124.352898157,-6.46434539562,"[14.9031786772, 15.4134476708]","[-0.562663966947, -0.287423024215]"
Madagascar,13.7942406828,-1.25827519925,0.253090677134,0.210163208917,54.5031560982,-5.98713355082,"[13.2645158076, 14.323965558]","[-1.69815185087, -0.818398547638]"
Malawi,14.0721006502,-1.04764534402,0.136229342353,0.0700384340494,103.297134135,-14.9581491682,"[13.7869693597, 14.3572319407]","[-1.19423747122, -0.901053216822]"
Malaysia,17.9639428853,-0.535718604815,0.121721278922,0.0656611473981,147.582600548,-8.15883709077,"[17.7091773206, 18.21870845]","[-0.673148965759, -0.39828824387]"
Maldives,13.0885847601,-1.17959546991,0.303290878471,0.235544122582,43.1552205795,-5.00795968491,"[12.453789656, 13.7233798643]","[-1.67259498435, -0.68659595547]"
Mali,15.4672250307,-1.08656888241,0.139171325418,0.0873925641774,111.138016285,-12.4331960349,"[15.1759360989, 15.7585139624]","[-1.26948362141, -0.903654143408]"
Malta,14.9459713591,-0.527968871051,0.198528573652,0.122082859141,75.2837291085,-4.3246764924,"[14.530446279, 15.3614964392]","[-0.783491231864, -0.272446510239]"
Marshall Islands,14.5334765976,-0.75046954731,0.11357551288,0.0816756558889,127.9631166,-9.18841164044,"[14.2957603172, 14.7711928781]","[-0.921418659745, -0.579520434875]"
Mauritania,13.8128411592,-1.40696515101,0.131498726877,0.1005781946,105.041634145,-13.9887692019,"[13.5376111607, 14.0880711577]","[-1.61747773166, -1.19645257036]"
Mauritius,14.8622869351,-0.763367352984,0.237627689092,0.143952898357,62.5444239767,-5.30289672314,"[14.3649264659, 15.3596474044]","[-1.06466423195, -0.462070474021]"
Mexico,21.4433799168,-0.631777501734,0.109760928033,0.0545478698579,195.364418842,-11.5820746691,"[21.2136476542, 21.6731121794]","[-0.745947505463, -0.517607498005]"
"Micronesia, Federated States of",15.2588523419,-0.767307527093,0.0804129489418,0.0651765946019,189.75615921,-11.7727465171,"[15.0905461055, 15.4271585784]","[-0.903723707379, -0.630891346807]"
Moldova,15.4657357288,-0.664256200499,0.194930562196,0.109016013301,79.3397174593,-6.09319842459,"[15.0562018144, 15.8752696432]","[-0.893290345581, -0.435222055416]"
Mongolia,14.0023770369,-0.790284464831,0.165725532046,0.0862304009554,84.4913687354,-9.16480099912,"[13.654200614, 14.3505534598]","[-0.971447814737, -0.609121114925]"
Morocco,16.5843739832,-1.43295345029,0.108677877366,0.0813263159426,152.60119525,-17.6198003523,"[16.3569085717, 16.8118393947]","[-1.60317138582, -1.26273551477]"
Mozambique,14.3386959017,-0.912918061055,0.136132589195,0.0812273044136,105.328900203,-11.2390540059,"[14.0537671179, 14.6236246855]","[-1.08292876307, -0.742907359042]"
Namibia,14.1057364616,-0.797564684277,0.122101345713,0.0795546928538,115.524823901,-10.0253631265,"[13.8501754079, 14.3612975152]","[-0.964074570061, -0.631054798493]"
Nepal,15.5618153267,-1.24285910089,0.147657984154,0.0926698082823,105.390950688,-13.4116938831,"[15.252763614, 15.8708670393]","[-1.43681923874, -1.04889896304]"
Netherlands,18.9644418341,-0.420567829268,0.129553149699,0.0658916610564,146.383487226,-6.38271706199,"[18.6932839754, 19.2355996927]","[-0.558480660844, -0.282654997692]"
New Caledonia,13.4432601514,-0.600174109865,0.180478385983,0.131072433777,74.4868150179,-4.57894991778,"[13.0655145483, 13.8210057546]","[-0.874511866629, -0.3258363531]"
New Zealand,17.7829388576,-0.507958941372,0.14578179897,0.0808624954434,121.983258426,-6.28176187968,"[17.4778140456, 18.0880636695]","[-0.677206089435, -0.338711793309]"
Nicaragua,17.6240055415,-0.918623543557,0.0985535855322,0.0750477056519,178.826629658,-12.2405280158,"[17.4177305163, 17.8302805666]","[-1.07570019672, -0.7615468904]"
Niger,13.7850631936,-1.30621099786,0.143844580867,0.0890355358141,95.8330380649,-14.670670378,"[13.4839930258, 14.0861333615]","[-1.49256451601, -1.1198574797]"
Nigeria,17.8770756074,-0.875851270764,0.133474025063,0.0804064130973,133.93673862,-10.8928036586,"[17.5977112623, 18.1564399525]","[-1.04414382751, -0.707558714023]"
Norway,17.6284748833,-0.529590201956,0.0812365573553,0.0462085788101,217.001747209,-11.4608632335,"[17.4584448147, 17.798504952]","[-0.626305868925, -0.432874534986]"
Oman,15.3628161008,-0.962542316247,0.135098984118,0.0928256989443,113.71525997,-10.3693516687,"[15.0800506773, 15.6455815243]","[-1.156828737, -0.768255895489]"
Pacific Islands (Palau),14.6062256244,-0.696771733539,0.144974567008,0.128832826847,100.750262103,-5.40834002164,"[14.3027903683, 14.9096608804]","[-0.966421939128, -0.42712152795]"
Pakistan,19.0456252619,-0.397074720965,0.172759328862,0.093786604814,110.243686331,-4.23381059324,"[18.684035831, 19.4072146928]","[-0.593372340822, -0.200777101108]"
Panama,18.1346766439,-0.282513499952,0.0558182272663,0.0344116115918,324.888079253,-8.20983054507,"[18.0178477515, 18.2515055362]","[-0.354537830764, -0.210489169139]"
Papua New Guinea,14.5096375218,-0.841227700338,0.139962524379,0.153859388939,103.66801818,-5.4675096927,"[14.2166925916, 14.8025824521]","[-1.16325910238, -0.519196298291]"
Paraguay,16.4686530336,-0.558456152166,0.0841269993258,0.0457639857638,195.759425221,-12.2029614083,"[16.2925732003, 16.6447328668]","[-0.654241275195, -0.462671029137]"
Peru,18.5988897074,-0.679726057345,0.116770330686,0.0516713816744,159.277528787,-13.1547877242,"[18.3544865965, 18.8432928184]","[-0.787875502115, -0.571576612576]"
Philippines,19.8141880849,-0.885032930561,0.099569670384,0.0625111100699,198.998229164,-14.1580101452,"[19.6057863697, 20.0225898001]","[-1.0158701876, -0.754195673517]"
Poland,18.6745159371,-0.57295853817,0.0837855371968,0.0378871352854,222.884719272,-15.122772779,"[18.4991507923, 18.8498810819]","[-0.652257223675, -0.493659852665]"
Portugal,17.9102785075,-0.382792114703,0.111316472777,0.0574174369203,160.895131338,-6.66682692985,"[17.6772904523, 18.1432665627]","[-0.50296819132, -0.262616038087]"
Qatar,15.5505153784,-1.04961613085,0.102797914033,0.0717302447329,151.272674399,-14.6328251739,"[15.3353568716, 15.7656738852]","[-1.19974925851, -0.8994830032]"
Romania,17.3784880397,-0.534573856063,0.200060441184,0.10731615722,86.8661887224,-4.98129890138,"[16.959756724, 17.7972193555]","[-0.759189154552, -0.309958557574]"
Russia,18.590334962,-0.405637768173,0.114954747373,0.0583023960215,161.718723123,-6.95748023844,"[18.3488239996, 18.8318459244]","[-0.528126556973, -0.283148979373]"
Rwanda,13.8617348516,-0.86783901544,0.235737434497,0.138502960306,58.8015852517,-6.26585174442,"[13.3664688798, 14.3570008235]","[-1.15882293738, -0.576855093494]"
Saudi Arabia,18.5210266712,-0.525615822735,0.106445099725,0.0651379822657,173.996047907,-8.06926779818,"[18.298234517, 18.7438188254]","[-0.661951186473, -0.389280458998]"
Senegal,16.6956947755,-0.982693037881,0.113550030964,0.0816939201805,147.033819663,-12.0289617111,"[16.4580318293, 16.9333577217]","[-1.15368037792, -0.811705697844]"
Serbia,17.1990181448,-0.729115478057,0.135414626263,0.0821880729019,127.010047728,-8.87130519445,"[16.9145225719, 17.4835137176]","[-0.901786211861, -0.556444744252]"
Seychelles,13.1391533529,-0.695671084869,0.134964058998,0.09056573796,97.3529801225,-7.68139365437,"[12.8566703309, 13.4216363748]","[-0.885227352924, -0.506114816813]"
Sierra Leone,16.0409212965,-0.922198527555,0.158191945137,0.136365878127,101.401631307,-6.76267802636,"[15.7098217501, 16.3720208429]","[-1.20761559068, -0.636781464435]"
Singapore,18.4601235631,-0.383373850234,0.0969848531181,0.0570788739225,190.340274482,-6.71656295733,"[18.2571319326, 18.6631151936]","[-0.502841306353, -0.263906394116]"
Slovakia,16.0577786816,-0.675740608793,0.166042600323,0.0988038356288,96.7087882889,-6.83921433305,"[15.7089361229, 16.4066212402]","[-0.883319764726, -0.46816145286]"
Slovenia,15.3318550752,-0.566145950884,0.18514379108,0.124257014284,82.8105278915,-4.55624943304,"[14.9428824039, 15.7208277465]","[-0.827200250849, -0.30509165092]"
Solomon Islands,12.7382912811,-0.870879405274,0.115099777236,0.170972395836,110.671728365,-5.0936842817,"[12.4973846787, 12.9791978835]","[-1.2287287424, -0.51303006815]"
Somalia,12.7909274131,-4.42309233394,0.905298427607,1.09853538672,14.1289623653,-4.02635398677,"[10.8961160277, 14.6857387985]","[-6.72235332297, -2.12383134491]"
South Africa,18.0841278342,-0.610658448702,0.150080033646,0.0929641579159,120.496560367,-6.56875146714,"[17.7700067137, 18.3982489547]","[-0.805234667418, -0.416082229986]"
Spain,19.0602822779,-0.42329291945,0.116328391491,0.0625379262824,163.848928311,-6.76857939834,"[18.8168041563, 19.3037603995]","[-0.554186303472, -0.292399535428]"
Sri Lanka,16.5804860826,-1.12516314941,0.091748322876,0.0516876955904,180.717048147,-21.7684912541,"[16.3884546358, 16.7725175293]","[-1.23334673959, -1.01697955922]"
Sudan,15.2436744685,-1.07083248182,0.107800253053,0.0644466363195,141.406666838,-16.6158009629,"[15.0180459457, 15.4693029912]","[-1.20572084186, -0.935944121773]"
Suriname,16.2883685059,-0.608504359959,0.181780136122,0.111823488736,89.6047767007,-5.44165064816,"[15.9078983083, 16.6688387034]","[-0.842553611732, -0.374455108187]"
Swaziland,13.307664008,-0.887284087257,0.147972744527,0.0847213020056,89.9332106768,-10.4729751108,"[12.9979534943, 13.6173745217]","[-1.06460781028, -0.709960364238]"
Sweden,18.4587497982,-0.311173862051,0.154130499216,0.0791819962576,119.760526905,-3.92985623953,"[18.1361509559, 18.7813486406]","[-0.476903684894, -0.145444039208]"
Switzerland,18.9752465716,-0.254359468369,0.174060408592,0.0962095881769,109.015293743,-2.64380581176,"[18.6109339495, 19.3395591937]","[-0.455728450688, -0.05299048605]"
Syria,16.8593496578,-0.746890636443,0.0823347022287,0.0579101583783,204.766024549,-12.897402759,"[16.6870211455, 17.0316781701]","[-0.868097990923, -0.625683281962]"
Tajikistan,12.755150143,-1.0749348061,0.268186372957,0.145688501955,47.5607690368,-7.37830914368,"[12.1917114812, 13.3185888049]","[-1.38101499087, -0.768854621335]"
Tanzania,15.3057606407,-0.988228855962,0.121541577781,0.0852520687663,125.930244778,-11.5918460427,"[15.0513711948, 15.5601500866]","[-1.16666348658, -0.809794225345]"
Thailand,18.5023959297,-0.329741994574,0.0741255617454,0.0352032093552,249.608846045,-9.3668162822,"[18.3472493459, 18.6575425135]","[-0.403423158547, -0.256060830601]"
Togo,14.7338192105,-1.33682600796,0.152018793275,0.114435982824,96.9210378076,-11.6818676693,"[14.4156402194, 15.0519982015]","[-1.5763432727, -1.09730874322]"
Tonga,15.4252330647,-0.530963269287,0.111167340052,0.0914685226557,138.756878211,-5.80487422198,"[15.1925571479, 15.6579089815]","[-0.722409087426, -0.339517451147]"
Trinidad and Tobago,18.2259296237,-0.498468459164,0.0998272376777,0.0608931358341,182.574716557,-8.18595482621,"[18.0169888139, 18.4348704334]","[-0.625919257213, -0.371017661115]"
Tunisia,15.1766311614,-1.45070018589,0.125536361568,0.0920840886637,120.89430482,-15.7540809378,"[14.9138805369, 15.4393817858]","[-1.64343439849, -1.25796597329]"
Turkey,18.2502580466,-0.40392990533,0.174619372186,0.0952901429013,104.514509577,-4.23894741923,"[17.8847755002, 18.6157405929]","[-0.60337446657, -0.204485344089]"
Turkmenistan,12.6532316585,-1.23829252597,0.177980395898,0.0986513358875,71.0934010157,-12.5522124442,"[12.279308722, 13.027154595]","[-1.44555129183, -1.0310337601]"
Turks and Caicos Islands,15.3929758833,-0.670782406228,0.141214069489,0.109273926224,109.004548478,-6.13854035823,"[15.097411439, 15.6885403275]","[-0.899495362334, -0.442069450122]"
Tuvalu,12.0122518278,-0.943553639737,0.318507503484,0.413793367104,37.7141878809,-2.28025317646,"[11.3456079615, 12.6788956941]","[-1.80963311064, -0.0774741688334]"
Uganda,15.2648963235,-1.10149432886,0.14847463975,0.0858225322734,102.811472378,-12.8345587072,"[14.954135331, 15.575657316]","[-1.28112295332, -0.921865704403]"
Ukraine,17.4874154472,-0.65690676653,0.142591160568,0.0822022531659,122.64024907,-7.99134745375,"[17.1878425352, 17.7869883592]","[-0.829607291963, -0.484206241096]"
United Arab Emirates,17.6239011596,-0.938425991299,0.112728719617,0.0777061615616,156.339052013,-12.076596919,"[17.3879572378, 17.8598450814]","[-1.10106685662, -0.775785125975]"
United Kingdom,20.8437360443,-0.395500196694,0.134934099051,0.0657375016941,154.473451788,-6.01635575588,"[20.5613157292, 21.1261563594]","[-0.533090369017, -0.257910024372]"
Uruguay,17.0238526343,-0.522099225192,0.104705246129,0.0622557284639,162.588344554,-8.38636440492,"[16.8047020355, 17.243003233]","[-0.652401962392, -0.391796487993]"
Uzbekistan,15.0513266125,-1.31715259072,0.114678598522,0.0529858108853,131.247912047,-24.8585907947,"[14.8103958173, 15.2922574076]","[-1.42847164863, -1.20583353281]"
Vanuatu,13.4331205163,-0.300416121286,0.317166485864,0.31138363149,42.353530764,-0.96477814151,"[12.7692834322, 14.0969576005]","[-0.952149552145, 0.351317309572]"
Venezuela,18.8289504706,-0.271929171574,0.155579740449,0.0926962841551,121.024436834,-2.93354986182,"[18.5033183315, 19.1545826098]","[-0.465944724065, -0.0779136190833]"
Vietnam,18.500594752,-0.480984870427,0.224791584547,0.120054807321,82.3011003248,-4.00637743013,"[18.0301005583, 18.9710889457]","[-0.732262469997, -0.229707270858]"
Yemen,16.8686265657,-0.655107874896,0.0874969390805,0.0561295357563,192.791047812,-11.6713574425,"[16.6854933675, 17.0517597638]","[-0.772588343397, -0.537627406395]"
Zambia,15.0302183811,-0.945949615181,0.134657509709,0.0758706612352,111.618122254,-12.4679236978,"[14.7483769742, 15.3120597881]","[-1.10474873417, -0.787150496192]"
Zimbabwe,15.6241318107,-1.1216405959,0.127793705844,0.0866065014614,122.260573849,-12.9509976384,"[15.3566565104, 15.8916071111]","[-1.30291008672, -0.940371105068]"
